Hole,Club Type,Shot Distance in Yards,Shot Outcome in Yards,Break,Tournament Yards,Score,Outcome
1,Driver,116,108.0,Drive,121.0,5.0,Rough
1,SW,8,5.0,Chip,121.0,5.0,Green
1,Putter,3,3.0,Putt,121.0,5.0,Green
2,Hybrid,112,70.0,Drive,123.0,6.0,Fairway
2,PW,42,50.0,Drive,123.0,6.0,Green
2,Putter,8,8.0,Putt,123.0,6.0,Green
3,6i,93,93.0,Drive,85.0,3.0,Green
3,Putter,8,7.0,Putt,85.0,3.0,Green
4,5i,109,88.0,Drive,109.0,5.0,Rough
4,SW,21,9.0,Chip,109.0,5.0,Rough
4,PW,12,17.0,Chip,109.0,5.0,Green
4,Putter,5,5.0,Putt,109.0,5.0,Green
5,5i,110,110.0,Drive,110.0,5.0,Rough
5,SW,23,10.0,Chip,110.0,5.0,Fairway
5,PW,13,13.0,Chip,110.0,5.0,Green
5,Putter,8,8.0,Putt,110.0,5.0,Green
6,Hybrid,109,109.0,Drive,107.0,3.0,Green
6,Putter,5,5.0,Putt,107.0,3.0,Green
7,Hybrid,108,108.0,Drive,106.0,3.0,Green
7,Putter,8,8.0,Putt,106.0,3.0,Green
8,FD,124,123.0,Drive,124.0,3.0,Green
8,Putter,12,12.0,Putt,124.0,3.0,Green
9,Driver,134,128.0,Drive,134.0,3.0,Green
9,Putter,6,6.0,Putt,134.0,3.0,Green
1,Hybrid,117,117.0,Drive,121.0,4.0,Rough
1,Putter,10,12.0,Putt,121.0,4.0,Green
2,Hybrid,123,123.0,Drive,123.0,6.0,Rough
2,PW,35,15.0,Chip,123.0,6.0,Rough
2,PW,20,27.0,Chip,123.0,6.0,Green
2,Putter,7,6.0,Putt,123.0,6.0,Green
3,8i,74,74.0,Drive,85.0,3.0,Green
3,Putter,2,2.0,Putt,85.0,3.0,Green
4,5i,108,108.0,Drive,113.0,4.0,Rough
4,Putter,10,13.0,Putt,113.0,4.0,Green
5,Hybrid,110,105.0,Drive,110.0,5.0,Rough
5,PW,14,18.0,Chip,110.0,5.0,Rough
5,PW,12,12.0,Chip,110.0,5.0,Green
5,Putter,4,6.0,Putt,110.0,5.0,Green
6,Hybrid,107,98.0,Drive,107.0,3.0,Green
6,Putter,8,7.0,Putt,107.0,3.0,Green
7,Hybrid,106,106.0,Drive,106.0,3.0,Green
7,Putter,8,7.0,Putt,106.0,3.0,Green
8,Driver,122,108.0,Drive,122.0,4.0,Fairway
8,PW,14,7.0,Chip,122.0,4.0,Green
8,Putter,7,10.0,Putt,122.0,4.0,Green
9,Driver,135,125.0,Drive,135.0,3.0,Fairway
9,Putter,10,7.0,Putt,135.0,3.0,Green
